Date,^KS11
2001-07-23,524.2100219726562
2001-07-24,526.6199951171875
2001-07-25,526.0800170898438
2001-07-26,529.219970703125
2001-07-27,541.1300048828125
2001-07-30,533.530029296875
2001-07-31,541.5499877929688
2001-08-01,562.7899780273438
2001-08-02,567.4600219726562
2001-08-03,568.6900024414062
2001-08-06,569.3699951171875
2001-08-07,567.5
2001-08-08,565.9400024414062
2001-08-09,549.6699829101562
2001-08-10,555.3400268554688
2001-08-13,562.0
2001-08-14,577.1500244140625
2001-08-16,580.9500122070312
2001-08-17,580.989990234375
2001-08-20,567.0900268554688
2001-08-21,568.6799926757812
2001-08-22,574.8699951171875
2001-08-23,570.0700073242188
2001-08-24,569.3099975585938
2001-08-27,578.739990234375
2001-08-28,576.510009765625
2001-08-29,565.6300048828125
2001-08-30,564.3599853515625
2001-08-31,545.1099853515625
2001-09-03,541.8300170898438
2001-09-04,558.7899780273438
2001-09-05,551.9099731445312
2001-09-06,552.5900268554688
2001-09-07,555.0800170898438
2001-09-10,550.72998046875
2001-09-11,540.5700073242188
2001-09-12,475.6000061035156
2001-09-13,499.25
2001-09-14,482.2900085449219
2001-09-17,468.760009765625
2001-09-18,484.92999267578125
2001-09-19,486.75
2001-09-20,480.2699890136719
2001-09-21,472.30999755859375
2001-09-24,482.19000244140625
2001-09-25,472.1300048828125
2001-09-26,472.8500061035156
2001-09-27,472.3800048828125
2001-09-28,479.67999267578125
2001-10-04,500.6400146484375
2001-10-05,501.9200134277344
2001-10-08,496.1300048828125
2001-10-09,507.6099853515625
2001-10-10,503.4599914550781
2001-10-11,517.0499877929688
2001-10-12,516.4000244140625
2001-10-15,513.989990234375
2001-10-16,521.9099731445312
2001-10-17,528.2899780273438
2001-10-18,524.2100219726562
2001-10-19,528.0399780273438
2001-10-22,528.7000122070312
2001-10-23,530.5
2001-10-24,541.489990234375
2001-10-25,542.1900024414062
2001-10-26,543.4099731445312
2001-10-29,547.8699951171875
2001-10-30,533.8699951171875
2001-10-31,537.8099975585938
2001-11-01,544.0900268554688
2001-11-02,550.5700073242188
2001-11-05,561.6199951171875
2001-11-06,565.469970703125
2001-11-07,562.030029296875
2001-11-08,573.0399780273438
2001-11-09,576.75
2001-11-12,584.47998046875
2001-11-13,588.8300170898438
2001-11-14,606.6799926757812
2001-11-15,606.4400024414062
2001-11-16,610.8800048828125
2001-11-19,626.4299926757812
2001-11-20,616.3300170898438
2001-11-21,615.4500122070312
2001-11-22,624.5599975585938
2001-11-23,645.1799926757812
2001-11-26,674.5599975585938
2001-11-27,670.0999755859375
2001-11-28,632.02001953125
2001-11-29,628.8599853515625
2001-11-30,643.8900146484375
2001-12-03,650.6599731445312
2001-12-04,649.9000244140625
2001-12-05,688.3099975585938
2001-12-06,686.6099853515625
2001-12-07,704.5
2001-12-10,668.77001953125
2001-12-11,670.0800170898438
2001-12-12,681.4299926757812
2001-12-13,676.5900268554688
2001-12-14,665.2000122070312
2001-12-17,648.280029296875
2001-12-18,643.760009765625
2001-12-19,647.0499877929688
2001-12-20,664.510009765625
2001-12-21,644.7100219726562
2001-12-24,646.489990234375
2001-12-26,653.8699951171875
2001-12-27,668.5499877929688
2001-12-28,693.7000122070312
2002-01-02,724.9500122070312
2002-01-03,727.6599731445312
2002-01-04,747.719970703125
2002-01-07,751.47998046875
2002-01-08,734.760009765625
2002-01-09,751.6099853515625
2002-01-10,728.22998046875
2002-01-11,727.3599853515625
2002-01-14,744.030029296875
