Date,rs_korea
2016-09-13,100.0
2016-09-19,100.22994475580167
2016-09-20,100.7189684036569
2016-09-21,100.1043647512602
2016-09-22,100.14736257091961
2016-09-23,100.91384372069166
2016-09-26,101.39341424815677
2016-09-27,101.54114774448746
2016-09-28,100.56156990706558
2016-09-29,102.25375857774767
2016-09-30,100.25701775560738
2016-10-04,101.5686861010703
2016-10-05,101.02963555230122
2016-10-06,101.56429468603064
2016-10-07,101.34632562983997
2016-10-10,100.96945309787743
2016-10-11,101.02349202266774
2016-10-12,100.98051904025556
2016-10-13,100.40121456842527
2016-10-14,100.7088984503959
2016-10-17,101.30711260586867
2016-10-18,101.31319686872907
2016-10-19,101.06896054414958
2016-10-20,101.24110886965863
2016-10-21,100.81687447589071
2016-10-24,101.11783870515193
2016-10-25,100.93406373229512
2016-10-26,99.98137441149092
2016-10-27,100.75795429662907
2016-10-28,100.82193092730442
2016-10-31,100.25656348843131
2016-11-01,100.94799919562247
2016-11-02,100.11992649272194
2016-11-03,100.82729874235076
2016-11-04,100.84793059099862
2016-11-07,99.44614790501375
2016-11-08,99.28773240373958
2016-11-09,96.03928873099898
2016-11-10,97.96336103248754
2016-11-11,97.2988029646364
2016-11-14,96.7310530096555
2016-11-15,95.64814510992706
2016-11-16,96.41843013455892
2016-11-17,95.96889039652244
2016-11-18,95.89419529213251
2016-11-21,94.76435422416736
2016-11-22,95.417628156703
2016-11-23,95.58112865790984
2016-11-25,94.58112476656987
2016-11-28,95.20390501796005
2016-11-29,95.03106345934351
2016-11-30,95.50468621432283
2016-12-01,95.87006909364601
2016-12-02,95.18735329448141
2016-12-05,94.2707236309208
2016-12-06,95.24144737533616
2016-12-07,94.10761873959677
2016-12-08,95.72424653997987
2016-12-09,94.85063285257652
2016-12-12,95.079219364232
2016-12-13,94.85607971475318
2016-12-14,95.68736237493891
2016-12-15,95.28474931358907
2016-12-16,95.7334851242434
2016-12-19,95.34543064231788
2016-12-20,95.14443046329706
2016-12-21,95.2239582624441
2016-12-22,95.28439226721099
2016-12-23,95.15300081034336
2016-12-27,95.20983082472802
2016-12-28,95.1720814779197
2016-12-29,95.2859304590748
2017-01-03,95.72952140247472
2017-01-04,95.24111170385076
2017-01-05,95.14489686949742
2017-01-06,95.13861844139727
2017-01-09,95.43783920374163
2017-01-10,95.26734469065273
2017-01-11,96.3947373610933
2017-01-12,97.19470125790147
2017-01-13,96.49124705114359
2017-01-17,96.60304511621709
2017-01-18,96.32813812501034
2017-01-19,96.79137199356313
2017-01-20,96.1030249568978
2017-01-23,96.37146043873102
2017-01-24,95.7468413212048
2017-01-25,94.97941883613062
2017-01-26,95.84470655666259
2017-01-31,95.86022949931834
2017-02-01,96.42064413771877
2017-02-02,95.91855674013793
2017-02-03,95.36079463373798
2017-02-06,95.73893192573904
2017-02-07,95.6218783920878
2017-02-08,95.030549332277
2017-02-09,94.50669799930857
2017-02-10,94.55445396440176
2017-02-13,94.20439975867842
2017-02-14,93.64534427496599
2017-02-15,93.57617201919084
2017-02-16,93.56515898937843
2017-02-17,93.36133692128443
2017-02-21,93.80562208761691
2017-02-22,94.05331773072977
2017-02-23,94.03515575461738
