Date,rs_small
2016-08-09,100.0
2016-08-10,99.52722870987016
2016-08-11,99.54041620102912
2016-08-12,99.72488843372774
2016-08-15,100.4228538210792
2016-08-16,100.12548928975231
2016-08-17,99.64354182107115
2016-08-18,100.1536286608508
2016-08-19,100.30032246473841
2016-08-22,100.53334080769851
2016-08-23,101.03158289338363
2016-08-24,100.72442148707962
2016-08-25,100.9903017153919
2016-08-26,100.97576096882852
2016-08-29,101.00352690809254
2016-08-30,101.35844641126181
2016-08-31,101.07341471043276
2016-09-01,101.14255530699701
2016-09-02,101.66023874197516
2016-09-06,101.45161820558567
2016-09-07,102.09589682087177
2016-09-08,102.12550559309167
2016-09-09,101.36114858255254
2016-09-12,101.32027982707757
2016-09-13,100.82471859134326
2016-09-14,100.87925369688105
2016-09-15,101.07376961134196
2016-09-16,101.31633654946897
2016-09-19,101.97064351683397
2016-09-20,101.53363671661539
2016-09-21,101.85948580905131
2016-09-22,102.67557414374188
2016-09-23,102.51028355928118
2016-09-26,102.32138877299903
2016-09-27,102.10264404728248
2016-09-28,102.378442820079
2016-09-29,101.80507450190113
2016-09-30,102.15285398055802
2016-10-03,102.07748204893143
2016-10-04,102.09507599796741
2016-10-05,102.2557309624216
2016-10-06,102.07748204893143
2016-10-07,101.60980811492941
2016-10-10,102.2930617345488
2016-10-11,101.7095318624385
2016-10-12,101.49300568788414
2016-10-13,100.98306833455072
2016-10-14,100.52194616625805
2016-10-17,100.75493100724746
2016-10-18,100.70225129872324
2016-10-19,100.85777555739858
2016-10-20,100.746913750409
2016-10-21,100.64998047865359
2016-10-24,100.86113814496369
2016-10-25,100.44439260412244
2016-10-26,99.64781569851066
2016-10-27,98.77100422041163
2016-10-28,98.7875081859653
2016-10-31,99.17623960805751
2016-11-01,98.67761536422238
2016-11-02,98.01140823469446
2016-11-03,97.98491679414217
2016-11-04,98.72420746760561
2016-11-07,98.95548841124987
2016-11-08,98.76937686912127
2016-11-09,100.74212298209358
2016-11-10,102.09866203778265
2016-11-11,104.68539108039663
2016-11-14,106.07338001686311
2016-11-15,105.57808486340572
2016-11-16,105.76858863162926
2016-11-17,105.84504783849673
2016-11-18,106.64415214102137
2016-11-21,106.33778996060394
2016-11-22,107.0982450666366
2016-11-23,107.70901138828901
2016-11-25,107.66363660532556
2016-11-28,106.7675944353794
2016-11-29,106.50339224247291
2016-11-30,106.2348702031245
2016-12-01,106.10824896060105
2016-12-02,105.99841670278644
2016-12-05,107.17644157616608
2016-12-06,107.99347769137452
2016-12-07,107.6365769293571
2016-12-08,109.06448122939484
2016-12-09,108.62169708866737
2016-12-12,107.59858029784803
2016-12-13,106.8930187726291
2016-12-14,106.43607018897887
2016-12-15,106.79176528198902
2016-12-16,106.80456073623856
2016-12-19,107.27038675240567
2016-12-20,107.76431392239698
2016-12-21,107.36003116045896
2016-12-22,106.61845103324168
2016-12-23,107.02903421156039
2016-12-27,107.24284354014415
2016-12-28,107.02865371173611
2016-12-29,107.14750810023055
2016-12-30,107.12745310873257
2017-01-03,106.8424081669195
2017-01-04,107.98173902897182
2017-01-05,106.82049990098457
2017-01-06,106.04888204618143
2017-01-09,105.70222697185139
2017-01-10,106.71374326540833
2017-01-11,106.6007245883513
2017-01-12,106.04582324553927
2017-01-13,106.56942265860432
2017-01-17,105.49422832932791
2017-01-18,105.60619332352437
2017-01-19,105.13420954235444
2017-01-20,105.28973525993379
2017-01-23,105.1246909355696
2017-01-24,106.05440973590899
2017-01-25,106.13444574051658
2017-01-26,105.81960397102621
